SensorID,TestSequence,Voltage,TubeCurrent,rho_dark_all,rho_Xray_all,rho_net_all,mu_tau_h_all,Int_E_dark,Int_E_Xray,Missing_voltage
D325145,9,700,25,-45072585862.95123,46524230950.34871,91596816813.29994,0.00011040786199020735,758.6097705776181,559.5960938291219,199.0136767484962
D325145,10,500,0,-65504897843.62071,,,,503.2151963778357,,
D325145,10,500,7,-65504897843.62071,52258772548.85768,117763670392.47842,8.974287945007491e-05,503.2151963778357,307.144593501062,196.0706028767737
D325145,10,500,25,-65504897843.62071,59891379440.09694,125396277283.7177,8.55066712884684e-05,503.2151963778357,308.82430533588115,194.39089104195455
D325145,10,700,0,-55844196001.9692,,,,763.848309344366,,
D325145,10,700,7,-55844196001.9692,41461875022.754585,97306071024.72377,9.638290236239704e-05,763.848309344366,605.4666740710709,158.38163527329516
D325145,10,700,25,-55844196001.9692,49676990618.14284,105521186620.11201,8.974287945007491e-05,763.848309344366,585.4410014600313,178.40730788433473
D325159,1,500,0,-13134604910.501965,,,,514.0459240604544,,
D325159,1,500,7,-13134604910.501965,28372275721.11473,41506880631.616684,0.00030199517204020164,514.0459240604544,492.426790218597,21.619133841857376
D325159,1,500,25,-13134604910.501965,32667990954.59865,45802595865.10062,0.00027101916318908416,514.0459240604544,493.56098306716245,20.4849409932919
D325159,1,700,0,-36226792482.02358,,,,721.1557001588287,,
D325159,1,700,7,-36226792482.02358,38175014940.73154,74401807422.75513,0.00016106456351782698,721.1557001588287,690.1044950715482,31.05120508728055
D325159,1,700,25,-36226792482.02358,42075591796.20938,78302384278.233,0.0001517050367459337,721.1557001588287,688.7483416173301,32.40735854149864
D325159,2,500,0,-60821350776.442276,,,,509.72147519838904,,
D325159,2,500,7,-60821350776.442276,26469354274.562347,87290705051.00462,0.0001342764961137864,509.72147519838904,485.55070351763004,24.170771680759003
D325159,2,500,25,-60821350776.442276,29653252787.091198,90474603563.5335,0.00012852866599436153,509.72147519838904,484.4051518149913,25.31632338339773
D325159,2,700,0,-46646869831.308495,,,,713.8320026134631,,
D325159,2,700,7,-46646869831.308495,35393907538.37602,82040777369.68451,0.00014927944095789958,713.8320026134631,679.8468405205472,33.98516209291597
D325159,2,700,25,-46646869831.308495,38465612964.00519,85112482795.3137,0.00014321878992735424,713.8320026134631,677.1828716885815,36.64913092488166
D325159,3,500,0,-36640211981.5702,,,,508.4481218024956,,
D325159,3,500,7,-36640211981.5702,28087507313.83567,64727719295.40588,0.00018663796908346695,508.4481218024956,488.1292736473623,20.31884815513331
D325159,3,500,25,-36640211981.5702,31025401058.52404,67665613040.09424,0.0001770108958317422,508.4481218024956,488.6309920993629,19.817129703132707
D325159,3,700,0,-35778230297.61,,,,712.4321322457806,,
D325159,3,700,7,-35778230297.61,36800609023.78884,72578839321.39885,0.00016943378004473288,712.4321322457806,684.050599346306,28.381532899474678
D325159,3,700,25,-35778230297.61,41303368005.50747,77081598303.11748,0.0001599558028614668,712.4321322457806,680.775557784487,31.656574461293644
D325159,4,500,0,-59864962699.44946,,,,407.422007407026,,
D325159,4,500,7,-59864962699.44946,55957674051.305855,115822636750.75534,0.00010568175092136585,407.422007407026,255.77874537039017,151.64326203663583
D325159,4,500,25,-59864962699.44946,69683377167.09317,129548339866.54263,9.354056741475521e-05,407.422007407026,290.0786036138495,117.34340379317649
D325159,4,700,0,-53246840799.20473,,,,713.0615281788708,,
D325159,4,700,7,-53246840799.20473,46476048409.492546,99722889208.69727,0.00011694993910198711,713.0615281788708,553.4800886752373,159.58143950363353
D325159,4,700,25,-53246840799.20473,59654206196.06586,112901046995.27058,0.000101391138573668,713.0615281788708,532.6246738275936,180.43685435127725
D325159,5,500,0,-70381250856.03777,,,,438.62600862209024,,
D325159,5,500,7,-70381250856.03777,64470149321.495346,134851400177.53311,8.994975815300346e-05,438.62600862209024,256.3402486650094,182.2857599570808
D325159,5,500,25,-70381250856.03777,81142449025.87651,151523699881.91428,7.998342550070292e-05,438.62600862209024,286.6127107556247,152.01329786646556
D325159,5,700,0,-29597504342.804478,,,,757.6487091188128,,
D325159,5,700,7,-29597504342.804478,57338786010.36314,86936290353.1676,0.00012647363474711521,757.6487091188128,549.1736197829573,208.4750893358555
D325159,5,700,25,-29597504342.804478,71517179602.68832,101114683945.49278,0.00011091748152624009,757.6487091188128,535.4374623232555,222.21124679555726
D325159,6,500,0,-25054858047.571495,,,,339.48956018727233,,
D325159,6,500,7,-25054858047.571495,44914430359.445435,69969288407.01692,0.0001778279410038923,339.48956018727233,204.25340979865317,135.23615038861917
D325159,6,500,25,-25054858047.571495,39565118726.70476,64619976774.27626,8.472274141405963e-05,339.48956018727233,451.17593324910763,-111.6863730618353
